Tag: blank_modifier, Categories: 2
Tag: planet_army_build_time_mult, Categories: 2048
Tag: country_pop_enslaved_mult, Categories: 256
Tag: country_border_friction_mult, Categories: 256
Tag: defensive_war_influence_gain_add, Categories: 256
Tag: all_technology_research_speed, Categories: 256
Tag: country_physics_tech_research_speed, Categories: 256
Tag: country_society_tech_research_speed, Categories: 256
Tag: country_engineering_tech_research_speed, Categories: 256
Tag: num_tech_alternatives_add, Categories: 256
Tag: edict_length_mult, Categories: 256
Tag: country_ship_upgrade_cost_mult, Categories: 256
Tag: country_leader_pool_size, Categories: 256
Tag: country_insult_efficiency, Categories: 256
Tag: country_trade_attractiveness, Categories: 256
Tag: colony_start_num_pops_add, Categories: 256
Tag: country_resource_max_add, Categories: 256
Tag: terraform_speed_mult, Categories: 256
Tag: country_election_influence_cost_mult, Categories: 256
Tag: country_trust_growth, Categories: 256
Tag: country_trust_cap_add, Categories: 256
Tag: country_synthetic_trust_cap_add, Categories: 256
Tag: country_organic_trust_cap_add, Categories: 256
Tag: country_subject_trust_cap_add, Categories: 256
Tag: country_subject_power_penalty_mult, Categories: 256
Tag: max_rivalries, Categories: 256
Tag: max_embassies, Categories: 256
Tag: ascension_perks_add, Categories: 256
Tag: modify_species_cost_mult, Categories: 256
Tag: country_subject_acceptance_add, Categories: 256
Tag: subject_integration_influence_cost_mult, Categories: 256
Tag: country_subject_integration_speed_add, Categories: 256
Tag: country_integration_cooldown_mult, Categories: 256
Tag: country_vassal_naval_capacity_contribution_mult, Categories: 256
Tag: subject_tribute_mult, Categories: 256
Tag: country_subject_technology_sharing_mult, Categories: 256
Tag: species_leader_exp_gain, Categories: 1024
Tag: ruler_skill_levels, Categories: 1024
Tag: leader_skill_levels, Categories: 1024
Tag: leader_age, Categories: 1024
Tag: admiral_skill_levels, Categories: 1024
Tag: general_skill_levels, Categories: 1024
Tag: governor_skill_levels, Categories: 1024
Tag: scientist_skill_levels, Categories: 1024
Tag: country_starbase_capacity_add, Categories: 256
Tag: country_starbase_capacity_mult, Categories: 256
Tag: country_naval_cap_add, Categories: 256
Tag: country_naval_cap_mult, Categories: 256
Tag: country_edict_cap_add, Categories: 256
Tag: country_edict_cap_mult, Categories: 256
Tag: terraforming_cost_mult, Categories: 256
Tag: federation_naval_cap_contribution_mult, Categories: 256
Tag: country_command_limit_add, Categories: 256
Tag: country_command_limit_mult, Categories: 256
Tag: planet_orbital_bombardment_damage, Categories: 2048
Tag: country_resettlement_cost_mult, Categories: 256
Tag: pop_resettlement_cost_mult, Categories: 2
Tag: pop_defense_armies_add, Categories: 2
Tag: pop_demotion_time_mult, Categories: 2
Tag: faction_approval, Categories: 8192
Tag: country_starbase_influence_cost_mult, Categories: 256
Tag: country_claim_influence_cost_mult, Categories: 256
Tag: country_war_exhaustion_mult, Categories: 256
Tag: empire_size_penalty_mult, Categories: 256
Tag: empire_size_branch_office_mult, Categories: 256
Tag: tradition_cost_empire_size_mult, Categories: 256
Tag: tech_cost_empire_size_mult, Categories: 256
Tag: leader_cost_empire_size_mult, Categories: 524288
Tag: leader_upkeep_empire_size_mult, Categories: 524288
Tag: megastructure_build_speed_add, Categories: 65536
Tag: megastructure_build_speed_mult, Categories: 65536
Tag: country_government_civic_points_add, Categories: 256
Tag: country_occupation_armies_add, Categories: 256
Tag: starbase_shipyard_capacity_add, Categories: 327680
Tag: starbase_shipyard_build_cost_mult, Categories: 327680
Tag: starbase_shipyard_build_time_mult, Categories: 327680
Tag: starbase_shipyard_build_speed_mult, Categories: 327680
Tag: starbase_upgrade_cost_mult, Categories: 262144
Tag: starbase_upgrade_time_mult, Categories: 262144
Tag: starbase_upgrade_speed_mult, Categories: 262144
Tag: starbase_defensive_war_ship_build_speed_mult, Categories: 327680
Tag: starbase_building_capacity_add, Categories: 262144
Tag: starbase_building_build_time_mult, Categories: 262144
Tag: starbase_building_build_speed_mult, Categories: 262144
Tag: starbase_module_capacity_add, Categories: 262144
Tag: starbase_module_build_time_mult, Categories: 262144
Tag: starbase_module_build_speed_mult, Categories: 262144
Tag: starbase_defense_platform_capacity_add, Categories: 262144
Tag: starbase_trade_collection_range_add, Categories: 2359296
Tag: starbase_trade_protection_range_add, Categories: 2359296
Tag: starbase_trade_protection_add, Categories: 2359296
Tag: local_trade_protection_add, Categories: 2097408
Tag: planet_hyperlane_range_add, Categories: 2048
Tag: country_trade_fee, Categories: 256
Tag: trade_value_add, Categories: 329728
Tag: trade_value_mult, Categories: 329728
Tag: piracy_growth_mult, Categories: 1048832
Tag: piracy_suppression_mult, Categories: 1049984
Tag: max_trade_piracy_add, Categories: 1048576
Tag: max_trade_piracy_mult, Categories: 1048576
Tag: country_admin_cap_add, Categories: 256
Tag: country_admin_cap_mult, Categories: 256
Tag: branch_office_value_mult, Categories: 2048
Tag: slave_market_cost_mult, Categories: 256
Tag: ship_archaeological_site_excavation_speed_mult, Categories: 16508
Tag: ship_archeaological_site_clues_add, Categories: 16508
Tag: country_megastructure_build_cap_add, Categories: 256
Tag: diplo_weight_stance_mult, Categories: 256
Tag: diplo_weight_sprawl_mult, Categories: 256
Tag: diplo_weight_naval_mult, Categories: 256
Tag: diplo_weight_pops_mult, Categories: 256
Tag: diplo_weight_economy_mult, Categories: 256
Tag: diplo_weight_technology_mult, Categories: 256
Tag: diplo_weight_envoys_mult, Categories: 256
Tag: diplo_weight_council_mult, Categories: 256
Tag: diplo_weight_mult, Categories: 256
Tag: cohesion_add, Categories: 4194304
Tag: cohesion_ethics_penalty_mult, Categories: 4194304
Tag: envoys_add, Categories: 256
Tag: envoy_improve_relations_mult, Categories: 1024
Tag: envoy_harm_relations_mult, Categories: 1024
Tag: empire_size_districts_mult, Categories: 256
Tag: empire_size_systems_mult, Categories: 256
Tag: empire_size_colonies_mult, Categories: 256
Tag: empire_size_pops_mult, Categories: 256
Tag: empire_size_mult, Categories: 256
Tag: federation_fleet_contribution_factor, Categories: 4194304
Tag: species_empire_size_mult, Categories: 2
Tag: ship_federation_territory_speed_mult, Categories: 16508
Tag: veto_cost_mult, Categories: 256
Tag: federation_join_malus_mult, Categories: 4194304
Tag: federation_leave_malus_mult, Categories: 4194304
Tag: federation_research_sharing_mult, Categories: 4194304
Tag: federation_leader_fleet_scale_mult, Categories: 4194304
Tag: country_federation_fleet_contribution_discount, Categories: 256
Tag: federation_leader_diplo_weight_contribution_add, Categories: 4194304
Tag: federation_leader_diplo_weight_from_members_mult, Categories: 4194304
Tag: country_federation_fleet_contribution_naval_cap_reduction_discount, Categories: 256
Tag: federation_fleet_cap_add, Categories: 4194304
Tag: pop_purge_mult, Categories: 2
Tag: espionage_operation_difficulty_add, Categories: 8388608
Tag: espionage_operation_difficulty_mult, Categories: 8388608
Tag: espionage_operation_skill_add, Categories: 8388608
Tag: espionage_operation_skill_mult, Categories: 8388608
Tag: espionage_operation_cost_add, Categories: 8388608
Tag: espionage_operation_cost_mult, Categories: 8388608
Tag: espionage_operation_speed_mult, Categories: 8388608
Tag: intel_encryption_add, Categories: 8388608
Tag: intel_encryption_mult, Categories: 8388608
Tag: intel_decryption_add, Categories: 8388608
Tag: intel_decryption_mult, Categories: 8388608
Tag: spy_network_value_add, Categories: 8388608
Tag: spy_network_value_mult, Categories: 8388608
Tag: spy_network_daily_value_add, Categories: 8388608
Tag: spy_network_daily_value_mult, Categories: 8388608
Tag: spy_network_decay_add, Categories: 8388608
Tag: spy_network_decay_mult, Categories: 8388608
Tag: spy_network_levels_add, Categories: 8388608
Tag: country_counter_espionage_add, Categories: 8388608
Tag: country_counter_espionage_mult, Categories: 8388608
Tag: spy_power_cost_add, Categories: 8388608
Tag: spy_power_cost_mult, Categories: 8388608
Tag: damage_vs_player_crisis_mult, Categories: 16508
Tag: ship_community_territory_speed_mult, Categories: 16508
Tag: veto_cooldown_mult, Categories: 256
Tag: emergency_measures_cooldown_mult, Categories: 256
Tag: country_community_gdf_naval_capacity, Categories: 256
Tag: first_contact_speed_mult, Categories: 256
Tag: first_contact_clues_add, Categories: 256
Tag: first_contact_defense_add, Categories: 256
Tag: ship_damage_against_starbases_mult, Categories: 16508
Tag: counter_intel_gain_speed, Categories: 256
Tag: add_base_country_intel, Categories: 256
Tag: shipclass_military_build_cost_mult, Categories: 264192
Tag: shipclass_military_build_speed_mult, Categories: 264192
Tag: shipclass_military_hull_mult, Categories: 16508
Tag: shipclass_military_damage_mult, Categories: 16508
Tag: shipclass_military_evasion_add, Categories: 16508
Tag: shipclass_military_disengage_mult, Categories: 16508
Tag: shipclass_constructor_build_cost_mult, Categories: 264192
Tag: shipclass_constructor_build_speed_mult, Categories: 264192
Tag: shipclass_constructor_hull_mult, Categories: 16508
Tag: shipclass_constructor_damage_mult, Categories: 16508
Tag: shipclass_constructor_evasion_add, Categories: 16508
Tag: shipclass_constructor_disengage_mult, Categories: 16508
Tag: shipclass_colonizer_build_cost_mult, Categories: 264192
Tag: shipclass_colonizer_build_speed_mult, Categories: 264192
Tag: shipclass_colonizer_hull_mult, Categories: 16508
Tag: shipclass_colonizer_damage_mult, Categories: 16508
Tag: shipclass_colonizer_evasion_add, Categories: 16508
Tag: shipclass_colonizer_disengage_mult, Categories: 16508
Tag: shipclass_science_ship_build_cost_mult, Categories: 264192
Tag: shipclass_science_ship_build_speed_mult, Categories: 264192
Tag: shipclass_science_ship_hull_mult, Categories: 16508
Tag: shipclass_science_ship_damage_mult, Categories: 16508
Tag: shipclass_science_ship_evasion_add, Categories: 16508
Tag: shipclass_science_ship_disengage_mult, Categories: 16508
Tag: shipclass_transport_build_cost_mult, Categories: 264192
Tag: shipclass_transport_build_speed_mult, Categories: 264192
Tag: shipclass_transport_hull_mult, Categories: 16508
Tag: shipclass_transport_damage_mult, Categories: 16508
Tag: shipclass_transport_evasion_add, Categories: 16508
Tag: shipclass_transport_disengage_mult, Categories: 16508
Tag: shipclass_mining_station_build_cost_mult, Categories: 264192
Tag: shipclass_mining_station_build_speed_mult, Categories: 264192
Tag: shipclass_mining_station_hull_mult, Categories: 16508
Tag: shipclass_mining_station_damage_mult, Categories: 16508
Tag: shipclass_mining_station_evasion_add, Categories: 16508
Tag: shipclass_mining_station_disengage_mult, Categories: 16508
Tag: shipclass_research_station_build_cost_mult, Categories: 264192
Tag: shipclass_research_station_build_speed_mult, Categories: 264192
Tag: shipclass_research_station_hull_mult, Categories: 16508
Tag: shipclass_research_station_damage_mult, Categories: 16508
Tag: shipclass_research_station_evasion_add, Categories: 16508
Tag: shipclass_research_station_disengage_mult, Categories: 16508
Tag: shipclass_military_station_build_cost_mult, Categories: 264192
Tag: shipclass_military_station_build_speed_mult, Categories: 264192
Tag: shipclass_military_station_hull_mult, Categories: 16508
Tag: shipclass_military_station_damage_mult, Categories: 16508
Tag: shipclass_military_station_evasion_add, Categories: 16508
Tag: shipclass_military_station_disengage_mult, Categories: 16508
Tag: shipclass_observation_station_build_cost_mult, Categories: 264192
Tag: shipclass_observation_station_build_speed_mult, Categories: 264192
Tag: shipclass_observation_station_hull_mult, Categories: 16508
Tag: shipclass_observation_station_damage_mult, Categories: 16508
Tag: shipclass_observation_station_evasion_add, Categories: 16508
Tag: shipclass_observation_station_disengage_mult, Categories: 16508
Tag: shipclass_starbase_build_cost_mult, Categories: 264192
Tag: shipclass_starbase_build_speed_mult, Categories: 264192
Tag: shipclass_starbase_hull_mult, Categories: 16508
Tag: shipclass_starbase_damage_mult, Categories: 16508
Tag: shipclass_starbase_evasion_add, Categories: 16508
Tag: shipclass_starbase_disengage_mult, Categories: 16508
Tag: shipclass_military_special_build_cost_mult, Categories: 264192
Tag: shipclass_military_special_build_speed_mult, Categories: 264192
Tag: shipclass_military_special_hull_mult, Categories: 16508
Tag: shipclass_military_special_damage_mult, Categories: 16508
Tag: shipclass_military_special_evasion_add, Categories: 16508
Tag: shipclass_military_special_disengage_mult, Categories: 16508
Tag: weapon_type_energy_weapon_damage_mult, Categories: 16508
Tag: weapon_type_energy_weapon_fire_rate_mult, Categories: 16508
Tag: weapon_type_energy_speed_mult, Categories: 16508
Tag: weapon_type_kinetic_weapon_damage_mult, Categories: 16508
Tag: weapon_type_kinetic_weapon_fire_rate_mult, Categories: 16508
Tag: weapon_type_kinetic_speed_mult, Categories: 16508
Tag: weapon_type_explosive_weapon_damage_mult, Categories: 16508
Tag: weapon_type_explosive_weapon_fire_rate_mult, Categories: 16508
Tag: weapon_type_explosive_speed_mult, Categories: 16508
Tag: weapon_type_strike_craft_weapon_damage_mult, Categories: 16508
Tag: weapon_type_strike_craft_weapon_fire_rate_mult, Categories: 16508
Tag: weapon_type_strike_craft_speed_mult, Categories: 16508
Tag: weapon_type_point_defense_weapon_damage_mult, Categories: 16508
Tag: weapon_type_point_defense_weapon_fire_rate_mult, Categories: 16508
Tag: weapon_type_point_defense_speed_mult, Categories: 16508
Tag: weapon_role_anti_armor_weapon_damage_mult, Categories: 16508
Tag: weapon_role_anti_armor_weapon_fire_rate_mult, Categories: 16508
Tag: weapon_role_anti_armor_speed_mult, Categories: 16508
Tag: weapon_role_anti_shield_weapon_damage_mult, Categories: 16508
Tag: weapon_role_anti_shield_weapon_fire_rate_mult, Categories: 16508
Tag: weapon_role_anti_shield_speed_mult, Categories: 16508
Tag: weapon_role_artillery_weapon_damage_mult, Categories: 16508
Tag: weapon_role_artillery_weapon_fire_rate_mult, Categories: 16508
Tag: weapon_role_artillery_speed_mult, Categories: 16508
Tag: weapon_role_anti_hull_weapon_damage_mult, Categories: 16508
Tag: weapon_role_anti_hull_weapon_fire_rate_mult, Categories: 16508
Tag: weapon_role_anti_hull_speed_mult, Categories: 16508
Tag: weapon_role_point_defense_weapon_damage_mult, Categories: 16508
Tag: weapon_role_point_defense_weapon_fire_rate_mult, Categories: 16508
Tag: weapon_role_point_defense_speed_mult, Categories: 16508
Tag: country_resource_max_time_add, Categories: 256
Tag: country_resource_max_energy_add, Categories: 256
Tag: country_resource_max_minerals_add, Categories: 256
Tag: country_resource_max_food_add, Categories: 256
Tag: country_resource_max_physics_research_add, Categories: 256
Tag: country_resource_max_society_research_add, Categories: 256
Tag: country_resource_max_engineering_research_add, Categories: 256
Tag: country_resource_max_influence_add, Categories: 256
Tag: country_resource_max_unity_add, Categories: 256
Tag: country_resource_max_alloys_add, Categories: 256
Tag: country_resource_max_consumer_goods_add, Categories: 256
Tag: country_resource_max_volatile_motes_add, Categories: 256
Tag: country_resource_max_exotic_gases_add, Categories: 256
Tag: country_resource_max_rare_crystals_add, Categories: 256
Tag: country_resource_max_sr_living_metal_add, Categories: 256
Tag: country_resource_max_sr_zro_add, Categories: 256
Tag: country_resource_max_sr_dark_matter_add, Categories: 256
Tag: country_resource_max_nanites_add, Categories: 256
Tag: country_resource_max_minor_artifacts_add, Categories: 256
Tag: country_resource_max_menace_add, Categories: 256
Tag: op_cat_manipulation_speed_mult, Categories: 8388608
Tag: op_cat_manipulation_difficulty_add, Categories: 8388608
Tag: op_cat_manipulation_difficulty_mult, Categories: 8388608
Tag: op_cat_manipulation_skill_add, Categories: 8388608
Tag: op_cat_manipulation_skill_mult, Categories: 8388608
Tag: op_cat_sabotage_speed_mult, Categories: 8388608
Tag: op_cat_sabotage_difficulty_add, Categories: 8388608
Tag: op_cat_sabotage_difficulty_mult, Categories: 8388608
Tag: op_cat_sabotage_skill_add, Categories: 8388608
Tag: op_cat_sabotage_skill_mult, Categories: 8388608
Tag: op_cat_subterfuge_speed_mult, Categories: 8388608
Tag: op_cat_subterfuge_difficulty_add, Categories: 8388608
Tag: op_cat_subterfuge_difficulty_mult, Categories: 8388608
Tag: op_cat_subterfuge_skill_add, Categories: 8388608
Tag: op_cat_subterfuge_skill_mult, Categories: 8388608
Tag: op_cat_provocation_speed_mult, Categories: 8388608
Tag: op_cat_provocation_difficulty_add, Categories: 8388608
Tag: op_cat_provocation_difficulty_mult, Categories: 8388608
Tag: op_cat_provocation_skill_add, Categories: 8388608
Tag: op_cat_provocation_skill_mult, Categories: 8388608
Tag: op_cat_government_speed_mult, Categories: 8388608
Tag: op_cat_government_difficulty_add, Categories: 8388608
Tag: op_cat_government_difficulty_mult, Categories: 8388608
Tag: op_cat_government_skill_add, Categories: 8388608
Tag: op_cat_government_skill_mult, Categories: 8388608
Tag: op_cat_diplomacy_speed_mult, Categories: 8388608
Tag: op_cat_diplomacy_difficulty_add, Categories: 8388608
Tag: op_cat_diplomacy_difficulty_mult, Categories: 8388608
Tag: op_cat_diplomacy_skill_add, Categories: 8388608
Tag: op_cat_diplomacy_skill_mult, Categories: 8388608
Tag: op_cat_economy_speed_mult, Categories: 8388608
Tag: op_cat_economy_difficulty_add, Categories: 8388608
Tag: op_cat_economy_difficulty_mult, Categories: 8388608
Tag: op_cat_economy_skill_add, Categories: 8388608
Tag: op_cat_economy_skill_mult, Categories: 8388608
Tag: op_cat_technology_speed_mult, Categories: 8388608
Tag: op_cat_technology_difficulty_add, Categories: 8388608
Tag: op_cat_technology_difficulty_mult, Categories: 8388608
Tag: op_cat_technology_skill_add, Categories: 8388608
Tag: op_cat_technology_skill_mult, Categories: 8388608
Tag: op_cat_military_speed_mult, Categories: 8388608
Tag: op_cat_military_difficulty_add, Categories: 8388608
Tag: op_cat_military_difficulty_mult, Categories: 8388608
Tag: op_cat_military_skill_add, Categories: 8388608
Tag: op_cat_military_skill_mult, Categories: 8388608
Tag: country_time_produces_add, Categories: 524288
Tag: country_time_produces_mult, Categories: 524288
Tag: country_energy_produces_add, Categories: 524288
Tag: country_energy_produces_mult, Categories: 524288
Tag: country_minerals_produces_add, Categories: 524288
Tag: country_minerals_produces_mult, Categories: 524288
Tag: country_food_produces_add, Categories: 524288
Tag: country_food_produces_mult, Categories: 524288
Tag: country_physics_research_produces_add, Categories: 524288
Tag: country_physics_research_produces_mult, Categories: 524288
Tag: country_society_research_produces_add, Categories: 524288
Tag: country_society_research_produces_mult, Categories: 524288
Tag: country_engineering_research_produces_add, Categories: 524288
Tag: country_engineering_research_produces_mult, Categories: 524288
Tag: country_influence_produces_add, Categories: 524288
Tag: country_influence_produces_mult, Categories: 524288
Tag: country_unity_produces_add, Categories: 524288
Tag: country_unity_produces_mult, Categories: 524288
Tag: country_alloys_produces_add, Categories: 524288
Tag: country_alloys_produces_mult, Categories: 524288
Tag: country_consumer_goods_produces_add, Categories: 524288
Tag: country_consumer_goods_produces_mult, Categories: 524288
Tag: country_volatile_motes_produces_add, Categories: 524288
Tag: country_volatile_motes_produces_mult, Categories: 524288
Tag: country_exotic_gases_produces_add, Categories: 524288
Tag: country_exotic_gases_produces_mult, Categories: 524288
Tag: country_rare_crystals_produces_add, Categories: 524288
Tag: country_rare_crystals_produces_mult, Categories: 524288
Tag: country_sr_living_metal_produces_add, Categories: 524288
Tag: country_sr_living_metal_produces_mult, Categories: 524288
Tag: country_sr_zro_produces_add, Categories: 524288
Tag: country_sr_zro_produces_mult, Categories: 524288
Tag: country_sr_dark_matter_produces_add, Categories: 524288
Tag: country_sr_dark_matter_produces_mult, Categories: 524288
Tag: country_nanites_produces_add, Categories: 524288
Tag: country_nanites_produces_mult, Categories: 524288
Tag: country_minor_artifacts_produces_add, Categories: 524288
Tag: country_minor_artifacts_produces_mult, Categories: 524288
Tag: country_menace_produces_add, Categories: 524288
Tag: country_menace_produces_mult, Categories: 524288
Tag: country_produces_mult, Categories: 524288
Tag: country_base_time_produces_add, Categories: 524288
Tag: country_base_energy_produces_add, Categories: 524288
Tag: country_base_minerals_produces_add, Categories: 524288
Tag: country_base_food_produces_add, Categories: 524288
Tag: country_base_physics_research_produces_add, Categories: 524288
Tag: country_base_society_research_produces_add, Categories: 524288
Tag: country_base_engineering_research_produces_add, Categories: 524288
Tag: country_base_influence_produces_add, Categories: 524288
Tag: country_base_unity_produces_add, Categories: 524288
Tag: country_base_alloys_produces_add, Categories: 524288
Tag: country_base_consumer_goods_produces_add, Categories: 524288
Tag: country_base_volatile_motes_produces_add, Categories: 524288
Tag: country_base_exotic_gases_produces_add, Categories: 524288
Tag: country_base_rare_crystals_produces_add, Categories: 524288
Tag: country_base_sr_living_metal_produces_add, Categories: 524288
Tag: country_base_sr_zro_produces_add, Categories: 524288
Tag: country_base_sr_dark_matter_produces_add, Categories: 524288
Tag: country_base_nanites_produces_add, Categories: 524288
Tag: country_base_minor_artifacts_produces_add, Categories: 524288
Tag: country_base_menace_produces_add, Categories: 524288
Tag: edicts_time_cost_mult, Categories: 524288
Tag: edicts_energy_cost_mult, Categories: 524288
Tag: edicts_minerals_cost_mult, Categories: 524288
Tag: edicts_food_cost_mult, Categories: 524288
Tag: edicts_physics_research_cost_mult, Categories: 524288
Tag: edicts_society_research_cost_mult, Categories: 524288
Tag: edicts_engineering_research_cost_mult, Categories: 524288
Tag: edicts_influence_cost_mult, Categories: 524288
Tag: edicts_unity_cost_mult, Categories: 524288
Tag: edicts_alloys_cost_mult, Categories: 524288
Tag: edicts_consumer_goods_cost_mult, Categories: 524288
Tag: edicts_volatile_motes_cost_mult, Categories: 524288
Tag: edicts_exotic_gases_cost_mult, Categories: 524288
Tag: edicts_rare_crystals_cost_mult, Categories: 524288
Tag: edicts_sr_living_metal_cost_mult, Categories: 524288
Tag: edicts_sr_zro_cost_mult, Categories: 524288
